"1","Weve been there the last night of the year. It has been a pleasure! The dishes were delicious and the service was so friendly. We hope to return someday.","es","5.0"
"2","Good salads, correct and quite large pizzas and pancakes also very good and great, thats what we ate. The place is small but cozy but if you have full insurance q q hope you are. We went on a Friday dinner, we wanted to repeat on Saturday but had no tables and that q was only 20:30, but ... the place is very very small. I recommend it if you are a few days in Andorra.","es","4.0"
"3","Charming and small with 4 or 5 tables, very friendly staff restaurant, the pizzas were very rich, very good tiramisu dessert too, pizza plus dessert plus coffee drinks and some 20 per head. Very good value","es","5.0"
"4","We have been several times in this small restaurant in Andorra la Vella and try to go every time we visit the Principality. The pizzas and stunning good galettes. Also highlight the great service and friendly staff. In short: October 1 !!!!","es","5.0"
"5","Dinner on the 1st day of 2016. Appetizers, pizzas second, desserts, all washed down with fine wine. The perfect service.","es","5.0"
"6","Very original menu with pizzas really sorprendetes. Small but very quiet and stress-free site.","es","4.0"
"7","In a street next to Avenida Meritxell, where you can ward off a bit from the crowds and recharge. Typical pizzas and pizzas author, a good price, in a tiny place but charming and excellent service. Repeat!","es","4.0"
"8","I recommend visiting this cozy restaurant. Worth looking into and trying its excellent pizzas, also their pancakes and delicious desserts. Fortunately I was able to try different dishes and have always been amazed. All of quality and very tasty !!! Good treatment, good prices. Undoubtedly, TO REPEAT !!!","es","5.0"
"9","We spent dinner guided by the score and not mistaken, of the best weve ever had, great service, great time out with plenty of organic and artisanal raw material. Recommended by 100 percent, have rare times I think, but nothing is in the description of the place, in my case wait a while but it was worth fully","es","5.0"
"10","We went with my family and ordered a pizza author (carpaccio) was very good and two 4-cheese pizzas, very good also. We ordered a salad that was not bad but was simple. The price of pizza is very good. Highly recommended.","es","4.0"
"11","They recommended this place long ago, I went with my family and were very happy! The owners were very attentive and we ate very well! Recommended 100%","es","5.0"
"12","5 min from the main street, this small pizza surprised us. We took a crepe with ham, cheese and mushrooms. A pizza with potatoes and a tomato and mushrooms. A weiss beer biological and cracks the chestnut cream and whipped cream for dessert. All good ... He served a spectacular girl, with a kindness and a smile incredible otherworldly. Thanks so much","it","5.0"
"13","I do not understand the comments about this restaurant !! We were just guided by the score, expecting nothing more than a good pizza, for we find typical Pakistani pizzas, and that copyright ordered 2 pizzas, over half were cold. Ill I have very high standards ??? They have made some change in mass the day we visited ???? I like both pizzas we usually like me to the edge, because Ive left all edges !!!! Appalling would not pay more than 5 euro for a pizza they call cost 15 € author and not a scam, the following.","es","1.0"
"14","Olguta Good afternoon, We usually answer opinions with low scores to apologize if this is the case, make clarifications, refine, etc. For this reason alone we did not want to quit at this time. But unfortunately in this case, we will not credit your comment, and we do not take into account racist, derogatory or discriminatory intent. Pakistani cuisine know, but we respect the cuisine from around the world, without any prejudice. And we are sure we can be as good as others. Greatly regret his disrespectful comment to this culture. LEscenari of Pizzes","es","4.0"
"15","It remains the best reference when it comes to pizza. This time we were looking to eat at home. Quiet on the Western Front: capitalized pizzas: thin, crisp, quality ingredients, delicious. They have traditional and author. Neither disappointed. You see as prepared. Fast service. Nothing to object. Posts to ask: it was cheaper, but good cost. See you soon!","fr","5.0"
"16","As usual everything is perfect - Pizzas, salads and excellent desserts. ESSENTIAL Andorra. This is more than a pizzeria, it is a place of exchange and wellness. A more with great pleasure !!!","es","3.0"
"17","You can not pay by card and warned not rich but not spectacular pizzas. We tried the author no different from normal rather than Tiramisu very good price Very friendly","es","5.0"
"18","Good morning Yolanda, As always, thank you for your time to tell her story. This time we are obliged to clarify his comment to help us understand our concept and food and future visitors to know more about us. First, we only accept cash payments, is published on this page Tripadvisor where you wrote your comment. Moreover, when it comes to our restaurant, located outside the letter and the door is a sign that specified. But it leads you cash and not go to an ATM to get it, can not enter. Anyway, allow give advice, businesses are not required to offer different means of payment, but consumers, we are all at some point we have to pay what we buy, that is, that it took cash, we who must ensure that accept checks, bonds, cards, travelers checks, etc. We have explained in other reviews that were pizzas author, then here not to dwell, we will chart: a traditional pizza in our letter is a Queen eg pizza dough with flour Bio, tomato Bio, French Emmental cheese, ham sweet, fresh mushrooms paris, oregano Bio. And pizza Author eg The Mexic DF, pizza dough with flour Bio Bio tomato, cheddar cheese English, minced meat prepared by us with Mexican species kikos crushed, homemade guacamole, vaporization of tequila and lime. There is a difference in ingredients, preparation, originality, working time, consistency, cost, etc. They are actually several differences between a pizza and others. We regret that you were unable to appreciate. We are glad that you have liked the tiramisu and our attention. The hope on another occasion, attentive to answer any questions. Thank LEscenari of Pizzes","es","4.0"
"19","Small restaurant seats 14 so reservations required max. Fresh and a good level of cuisine. 1 waitress was attentive and a very nice cook. Good selection of Spanish wines and Catalan or Provencal. Resto a good pizzeria.","fr","4.0"
"20","Its a small place, with 7 tables I think. In the letter you everything, salads, crepes, pizzas .... In section two pizzas, traditional worth about 5 euros and signature pizzas worth about 10 euros, so yes, incredibly good. I went on a Thursday and had no problem site. The restaurant is a little hard to find but if you ask the people know very well what it is. You see how they prepare the pizza itself since being a small venue is. If there is extra pizza waitress with no problem makes things to go. Honestly was a discovery of restaurant and when I return to Andorra have very clear that cenare there again.","es","5.0"
"21","Good afternoon Sara, Thank you for all your compliments, really delighted that you enjoyed our food as much as the service and atmosphere. We appreciate your time to write a review as positive and gladly wait. We are obliged to make an assessment in its opinion to avoid misunderstandings or false expectations on potential customers, then it is clear that our pizzas range from € 8.90 + IGI to author pizzas costing € 15 + IGI. Once again, thank you! LEscenari of Pizzes","es","5.0"
"22","It was good all very good and good service small site you must book by putting a paste is left with the clothes smelling like pizza but this is normal because the place is small but I recommend it.","es","5.0"
"23","TripAdvisor gossip after dinner in Andorra where my partner and I discovered this place, the first time we tried we could not eat there, as was packed, so we returned the next afternoon and finally could enjoy the delicious pizza place . They are as good as they say. We will certainly recommend it!","es","3.0"
"24","Very average place where the pizzas are very normal and repeat. Besides small place, just 4 tables. If you go looking for a truly Italian, this is not the place. also that value for money is bad.","es","4.0"
"25","Ramiro good afternoon, thank all the people who dedicate some time to talk about their experiences on this website. Unfortunately, were not sure if your review is for our restaurant, because we are not a Trattoria, if thats what you mean by Italian truth and if you actually visited understand that know that we watched, and this erroneous expectation may have caused their discontent. We are a simple pizza and handmade Breton creperie, we work with quality products, trying to do my best every day. Thank you so much","es","5.0"
"26","Very chiquitin, few tables, better book. Good customer service and great pizzas! Worth it!","es","5.0"
"27","Especially the more normal, with much Emmentaler excellent pizzas, good service and good price. we will be back","es","4.0"
"28","We went to this restaurant mainly because it was the No. 1 advisor and certainly were not disappointed at all. We were 4 and shared 4 pizza: 4 estacions, Mexico DF, Hortalana and Bosc. each one better. Not to mention the panacotta, BRUTAL !!! The final price less than 25 € with wine and 2 desserts. The deal, discreet and impeccable. Very nice dinner, I repeat safe.","es","4.0"
"29","Simple and friendly. Extensive menu of pizzas and desserts. Magnificis nice treatment and special mention desserts Tiramisu","es","3.0"
"30","This is one of those places that never lets you down. Carryout or eat on-site, but is a very small restaurant and booking is advisable if you do not want to run out of room! Fully recommended and affordable.","es","5.0"
"31","I went with my partner and asked us to share a pizza avg ham, cheese and mushrooms, and spinach crepe and do not remember what else, but I do remember it was buenisima. The place is small but very welcoming and the waitress who took our very attentive and friendly. Repeat safe.","es","4.0"
"32","Although not upset us, I just do not think second place in Andorra and that while the mass do it themselves, they have wood oven and that always shows in the final result. Leaving aside the food, the place is small and cozy and the waitress is very friendly.","es","3.0"
"33","Nice little pizzeria that comes out of the tourist dimension of Andorra (large shopping center). Pleasant place because the atmosphere is very casual and really sincere, with very little against so fast full table. As for the meal is simple but there are good pizza choices vary and the ingredients are of good qualities. The price is correct. Were going to eat a sum simple and quick tip we not regret and certainly return there, we recommend without worry.","fr","4.0"
"34","Tiny place with only 6-7 tables, better book before. You can order takeout. We tried two pizzas Mexican author and mustard. The truth that were impressive, but the price is a tad expensive (15 €). The most affordable normal pizzas. Perfect attendance. As restaurant recommendation I would ask that it repaired vent local as it is quite annoying dinner out with all the clothes smelling like pizza.","es","4.0"
"35","It must be reserved to be tiny but but you try to catch the perfect pizza 22h.la cooking, good. The very rich pancakes, recomiendadisimis !!! Good price and quality, and very friendly attention. Congrats!!!!","es","4.0"
"36","Excellent pizza and salad we never eat as good pizza ... Nothing to say dimension value ... We will return with great pleasure ... Everything is fresh the waitress go out looking tomatoes and peppers in grocery to dimension ... Do not miss","fr","5.0"
"37","We went to this little recommended by reviews on Trip Advisor restaurant. The best pizza you can have in Andorra. My husband ate a very good pizza four cheeses; and a crepe with spinach cream, ham, raisins and pine nuts, was sublime. All food made at the time and it very quickly. For dessert we ate a sweet lemon and sugar crepe was really spectacular. Water and sparkling water, all for 26 €. The girl serving (Alejandra) was very nice. Of course back to this restaurant the next time we return to Andorra.","es","5.0"
"38","We went to this restaurant because of the rating on TA. Surprised by the number of people at lunchtime, we had to wait for a free table. Pizza is delicious, but I would not say that delightful. Price / quality must meet. Service is fast, the waitress tried. Interior well, very modest. The restaurant attracts people because, frankly, do not understand))","ru","4.0"
